course_code,model_name,test_auc,test_f1,n_train,path
0000204290,HistGradientBoosting,0.9980746118817473,0.7949790794979079,14330,artifacts\course_models\model_0000204290.pkl
0040201321,HistGradientBoosting,0.9980542614414908,0.8274231678486997,14330,artifacts\course_models\model_0040201321.pkl
0030301121,RandomForest,0.997992757628584,0.9127789046653144,14330,artifacts\course_models\model_0030301121.pkl
0000203280,HistGradientBoosting,0.9979035121481005,0.9233610341643582,14330,artifacts\course_models\model_0000203280.pkl
0010204350,HistGradientBoosting,0.9977024444038111,0.8542713567839196,14330,artifacts\course_models\model_0010204350.pkl
0000203420,HistGradientBoosting,0.997700775549773,0.7611336032388664,14330,artifacts\course_models\model_0000203420.pkl
0030302232,RandomForest,0.9973805387818127,0.9181636726546906,14330,artifacts\course_models\model_0030302232.pkl
0040201290,HistGradientBoosting,0.9973134743875277,0.903177004538578,14330,artifacts\course_models\model_0040201290.pkl
0010204210,HistGradientBoosting,0.9969864109566927,0.7962529274004684,14330,artifacts\course_models\model_0010204210.pkl
0000201392,RandomForest,0.9969395966557937,0.8509485094850948,14330,artifacts\course_models\model_0000201392.pkl
0010204281,HistGradientBoosting,0.9967205020435906,0.8200836820083682,14330,artifacts\course_models\model_0010204281.pkl
0040303130,HistGradientBoosting,0.9953527503635674,0.8437832093517534,14330,artifacts\course_models\model_0040303130.pkl
0040201462,RandomForest,0.995317429022082,0.4,14330,artifacts\course_models\model_0040201462.pkl
0040201460,HistGradientBoosting,0.9945531484405843,0.40601503759398494,14330,artifacts\course_models\model_0040201460.pkl
0000203391,HistGradientBoosting,0.9942037214209711,0.7571115973741794,14330,artifacts\course_models\model_0000203391.pkl
0040302221,HistGradientBoosting,0.9941794899778094,0.5375,14330,artifacts\course_models\model_0040302221.pkl
0010204282,HistGradientBoosting,0.9937065128815896,0.8595292331055429,14330,artifacts\course_models\model_0010204282.pkl
0030301123,HistGradientBoosting,0.9934849629908171,0.8339952343129468,14330,artifacts\course_models\model_0030301123.pkl
0040201441,HistGradientBoosting,0.9933459538878843,0.5031446540880503,14330,artifacts\course_models\model_0040201441.pkl
0040303221,HistGradientBoosting,0.9928669589686538,0.8507936507936508,14330,artifacts\course_models\model_0040303221.pkl
0010203380,HistGradientBoosting,0.9927775860944067,0.7623220153340635,14330,artifacts\course_models\model_0010203380.pkl
0000204291,RandomForest,0.9922459504612479,0.7719298245614035,14330,artifacts\course_models\model_0000204291.pkl
0010203362,RandomForest,0.9917739462893872,0.7579462102689487,14330,artifacts\course_models\model_0010203362.pkl
0000204310,HistGradientBoosting,0.991739377288182,0.6530612244897959,14330,artifacts\course_models\model_0000204310.pkl
0040201260,HistGradientBoosting,0.9914494047222554,0.7825159914712153,14330,artifacts\course_models\model_0040201260.pkl
0000201391,HistGradientBoosting,0.9909223865431178,0.8036605657237936,14330,artifacts\course_models\model_0000201391.pkl
0010203180,HistGradientBoosting,0.9905222163214729,0.80253766851705,14330,artifacts\course_models\model_0010203180.pkl
0000204411,RandomForest,0.9902115359348311,0.19672131147540983,14330,artifacts\course_models\model_0000204411.pkl
0010203410,RandomForest,0.9885663003065304,0.528,14330,artifacts\course_models\model_0010203410.pkl
0040201100,HistGradientBoosting,0.9876486640640186,0.8009367681498829,14330,artifacts\course_models\model_0040201100.pkl
0010204451,RandomForest,0.9874925550923169,0.5178571428571429,14330,artifacts\course_models\model_0010204451.pkl
0030302134,HistGradientBoosting,0.9873137876386687,0.4055299539170507,14330,artifacts\course_models\model_0030302134.pkl
0010204431,RandomForest,0.9870374567915228,0.4782608695652174,14330,artifacts\course_models\model_0010204431.pkl
0010203420,RandomForest,0.9865149943472535,0.45454545454545453,14330,artifacts\course_models\model_0010203420.pkl
0040201201,HistGradientBoosting,0.9860024092778926,0.7763457164518575,14330,artifacts\course_models\model_0040201201.pkl
0030302129,HistGradientBoosting,0.984671340549935,0.7166212534059946,14330,artifacts\course_models\model_0030302129.pkl
0040302231,HistGradientBoosting,0.9840695728820901,0.7556596409055425,14330,artifacts\course_models\model_0040302231.pkl
0010203401,RandomForest,0.9840674133731162,0.45,14330,artifacts\course_models\model_0010203401.pkl
0030302122,HistGradientBoosting,0.9806928571428571,0.42280285035629456,14330,artifacts\course_models\model_0030302122.pkl
0030303111,HistGradientBoosting,0.979970579657935,0.7070401211203634,14330,artifacts\course_models\model_0030303111.pkl
0030301222,HistGradientBoosting,0.9744295399868774,0.4,14330,artifacts\course_models\model_0030301222.pkl
